image_name,DER,MSB,PSNR,SSIM
122.pgm,3.9699745178222656,5,51.14514780058321,0.979713222946903
123.pgm,3.8856124877929688,5,51.141468055047696,0.975903337854368
124.pgm,3.6241912841796875,5,51.13636798047746,0.9834791767018756
125.pgm,3.6747894287109375,6,51.13908285908722,0.9879676542915714
126.pgm,3.40301513671875,5,51.13253031674014,0.9897941294466366
127.pgm,3.412494659423828,5,51.155673822393304,0.9898585895745814
128.pgm,4.2171478271484375,6,51.1330594480971,0.982812053211468
129.pgm,3.0597877502441406,5,51.13901662233979,0.9916012458738629
130.pgm,4.522430419921875,6,51.15348018086337,0.9839266387944655
131.pgm,3.168201446533203,5,51.1380894139326,0.9889102724555623
132.pgm,2.903881072998047,5,51.13633488267408,0.991834224150126
133.pgm,2.8361663818359375,4,51.14087163323595,0.9909237548593869
134.pgm,3.14208984375,5,51.13038138329213,0.9896019178574782
135.pgm,3.2499122619628906,5,51.14627555389732,0.9889637385240572
136.pgm,2.672901153564453,5,51.14014278445845,0.9933907648999853
137.pgm,1.8345108032226562,3,51.13570607233078,0.9991003737003717
138.pgm,1.5264358520507812,3,51.13633488267408,0.9995150183329627
139.pgm,3.670635223388672,5,51.151652992278265,0.9833532736092176
140.pgm,3.82855224609375,6,51.13689757963901,0.9798346226415604
141.pgm,2.9572105407714844,5,51.12654900366353,0.9898101432568395
142.pgm,3.3826065063476562,5,51.15348018086337,0.9861608562028458
143.pgm,3.5639877319335938,6,51.13914909684489,0.981904441569527
144.pgm,3.050079345703125,6,51.14183257536952,0.9889742466658074
145.pgm,3.6922073364257812,6,51.15587329930457,0.980378809119825
146.pgm,3.1705665588378906,5,51.142528562773286,0.9748347036603652
147.pgm,3.329315185546875,5,51.14514780058321,0.9766054235610191
148.pgm,3.213348388671875,5,51.138950386602545,0.978270982104656
149.pgm,3.0762100219726562,5,51.154410681344665,0.9865300420613224
150.pgm,3.1701278686523438,5,51.13421714774535,0.9928733365519217
151.pgm,4.1219329833984375,6,51.12978648198043,0.9863380208985734
152.pgm,3.1323623657226562,5,51.141236103499104,0.992648286541394
153.pgm,3.421783447265625,5,51.140739106178046,0.9907675639662867
154.pgm,2.9815673828125,5,51.12638389088815,0.9926688161796066
155.pgm,2.4643402099609375,4,51.140407806225255,0.9967448684283824
156.pgm,2.7770843505859375,4,51.13504426505013,0.9944395024490102
157.pgm,3.7633323669433594,5,51.14727087360566,0.9721437013544127
158.pgm,3.7157135009765625,6,51.13593772870702,0.9881912448552846
159.pgm,3.691680908203125,6,51.1469058965595,0.9740375423156334
160.pgm,3.5851478576660156,5,51.13636798047746,0.9839438032923175
161.pgm,4.297233581542969,6,51.152383775465466,0.9024776968008356
162.pgm,3.8360977172851562,5,51.141103565318915,0.9795770521731887
163.pgm,2.9059791564941406,5,51.134316393505,0.9943111464016141
164.pgm,2.5713348388671875,4,51.13401866302975,0.994651166132583
165.pgm,3.1067657470703125,5,51.11896030558083,0.9937393466753911
166.pgm,4.051322937011719,5,51.153380496206786,0.9857007987270051
167.pgm,2.4612579345703125,4,51.13577225860596,0.9963293631040259
168.pgm,4.54412841796875,6,51.142594853105415,0.8611813545463651
169.pgm,2.4357452392578125,4,51.17032648380781,0.9922401536521316
170.pgm,3.203125,5,51.148365988814234,0.9850991001990731
171.pgm,3.7443008422851562,6,51.1354744283106,0.9909726084286353
172.pgm,4.377777099609375,6,51.14750314769686,0.9874726164730427
173.pgm,4.8482208251953125,6,51.13259645463428,0.980832483157898
